"country","year","gdp","pop","energy.emissions","lgdp","lpop","lenergy.emissions","const","L1.lenergy.emissions","L1.lgdp","L1.lpop"
"Ireland",1995,107163259568.557,3608841,12952.54532,25.3976192989332,15.0988972261291,9.46904759762125,1,9.42862920539391,25.3056380872862,15.0937702755759
"Ireland",1996,115108589467.237,3637510,13555.250569,25.469141776017,15.106809939599,9.51452924711787,1,9.46904759762125,25.3976192989332,15.0988972261291
"Ireland",1997,127659719241.178,3674171,14039.56294,25.5726341175018,15.1168380869512,9.54963454746563,1,9.51452924711787,25.469141776017,15.106809939599
"Ireland",1998,138755064446.911,3712696,14819.44794,25.6559760894251,15.1272688553123,9.6036956471441,1,9.54963454746563,25.5726341175018,15.1168380869512
"Ireland",1999,153329285306.613,3754786,15305.23518,25.7558536372387,15.1385418508772,9.63595021748164,1,9.6036956471441,25.6559760894251,15.1272688553123
"Ireland",2000,167812387196.735,3805174,15386.93159,25.8461124494511,15.1518722775359,9.64127383008662,1,9.63595021748164,25.7558536372387,15.1385418508772
"Ireland",2001,176670248836.595,3866243,16661.69887,25.8975508310525,15.1677937924398,9.72086788351114,1,9.64127383008662,25.8461124494511,15.1518722775359
"Ireland",2002,187128802584.148,3931947,15963.90597,25.9550630005707,15.1846452810129,9.67808557602349,1,9.72086788351114,25.8975508310525,15.1677937924398
"Ireland",2003,192780034501.664,3996521,15058.77935,25.9848156582713,15.2009347906322,9.61971644561212,1,9.67808557602349,25.9550630005707,15.1846452810129
"Ireland",2004,205737461752.638,4070262,14661.02354,26.0498667354129,15.2192179288113,9.59294779155733,1,9.61971644561212,25.9848156582713,15.2009347906322
"Ireland",2005,217464680665.984,4159914,15125.87291,26.1053022865462,15.2410049589468,9.62416199429156,1,9.59294779155733,26.0498667354129,15.2192179288113
"Ireland",2006,228492099412.739,4273591,14687.758963,26.1547674708087,15.2679650153828,9.59476970225449,1,9.62416199429156,26.1053022865462,15.2410049589468
"Ireland",2007,240657629408.819,4398942,14343.6194,26.2066411355332,15.2968746154292,9.57106048119061,1,9.59476970225449,26.1547674708087,15.2679650153828
"Ireland",2008,229875245087.371,4489544,14203.863641,26.160802586047,15.3172616955409,9.56126929397466,1,9.57106048119061,26.2066411355332,15.2968746154292
"Ireland",2009,218199392507.127,4535375,12718.520166,26.1086751262312,15.3274183283002,9.45081449097525,1,9.56126929397466,26.160802586047,15.3172616955409
"Ireland",2010,222148757313.006,4560155,13126.477723,26.1266130724032,15.332867172141,9.48238666954127,1,9.45081449097525,26.1086751262312,15.3274183283002
"Ireland",2011,222911706772.089,4580084,11769.251876,26.1300415962466,15.3372278965335,9.37324563629705,1,9.48238666954127,26.1266130724032,15.332867172141
"Ireland",2012,223414851581.063,4599533,12624.394537,26.1322962011438,15.3414653345665,9.44338629552822,1,9.37324563629705,26.1300415962466,15.3372278965335
"Ireland",2013,226434602684.886,4623816,11225.566048,26.145722010311,15.3467308961551,9.32594913877779,1,9.44338629552822,26.1322962011438,15.3414653345665
"Ireland",2014,245809905127.01,4657740,11071.088459,26.2278243307726,15.3540409099209,9.312092345982,1,9.32594913877779,26.145722010311,15.3467308961551
"Ireland",2015,307661903751.453,4701957,11733.810101,26.4522673018968,15.3634893629957,9.37022970570051,1,9.312092345982,26.2278243307726,15.3540409099209
"Ireland",2016,318977141891.91,4755335,12432.8933637906,26.4883852816526,15.3747777036356,9.42810093004739,1,9.37022970570051,26.4522673018968,15.3634893629957
"Ireland",2017,344958774769.011,4807388,11561.7351535557,26.5666907534147,15.3856644592418,9.35545623075108,1,9.42810093004739,26.4883852816526,15.3747777036356
"Ireland",2018,373141461440.054,4867316,10662.3189505664,26.6452234378824,15.3980532137677,9.27447121163855,1,9.35545623075108,26.5666907534147,15.3856644592418
"Iceland",1969,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Iceland",1970,3320000059.8023,NA,28.3803,21.9232306378875,NA,3.34569524250055,1,NA,NA,NA
"Iceland",1971,3753619877.76833,206098,31.56659,22.0459865120638,12.2361070628043,3.45209928279869,1,3.34569524250055,21.9232306378875,NA
"Iceland",1972,3985493531.39453,209137,34.75288,22.1059269887961,12.2507448185914,3.54826244627448,1,3.45209928279869,22.0459865120638,12.2361070628043
"Iceland",1973,4256746608.57616,212317,59.94689,22.171770998548,12.2658357198505,4.09345900356408,1,3.54826244627448,22.1059269887961,12.2507448185914
"Iceland",1974,4499649005.61815,215209,56.83468,22.2272652319291,12.2793649279566,4.0401467027894,1,4.09345900356408,22.171770998548,12.2658357198505
"Iceland",1975,4528723716.21416,217979,59.94689,22.233705996395,12.2921540068559,4.09345900356408,1,4.0401467027894,22.2272652319291,12.2793649279566
"Iceland",1976,4798607006.23121,220154,44.1636,22.2915915057069,12.3020825804488,3.78790092038525,1,4.09345900356408,22.233705996395,12.2921540068559
"Iceland",1977,5221953419.77736,221799,44.1636,22.3761373871869,12.309526845322,3.78790092038525,1,3.78790092038525,22.2915915057069,12.3020825804488
"Iceland",1978,5536143453.66061,223537,37.86509,22.4345639677983,12.3173322274326,3.63402957942814,1,3.78790092038525,22.3761373871869,12.309526845322
"Iceland",1979,5805232267.1222,225735,37.86509,22.4820254628587,12.3271170238889,3.63402957942814,1,3.63402957942814,22.4345639677983,12.3173322274326
"Iceland",1980,6138912414.93111,228138,31.56659,22.5379134322972,12.3377059879966,3.45209928279869,1,3.63402957942814,22.4820254628587,12.3271170238889
"Iceland",1981,6400737465.55993,230755,37.6683,22.5796790496674,12.3491118206027,3.62881889193595,1,3.45209928279869,22.5379134322972,12.3377059879966
"Iceland",1982,6538645593.83453,233860,15.5865,22.6009958852243,12.3624779246943,2.74640515497867,1,3.62881889193595,22.5796790496674,12.3491118206027
"Iceland",1983,6397988754.28938,236977,9.394498,22.5792495207806,12.3757183689945,2.2401241987609,1,2.74640515497867,22.6009958852243,12.3624779246943
"Iceland",1984,6662169273.99473,239511,6.282297,22.6197109852805,12.3863546237972,1.83773567793585,1,2.2401241987609,22.5792495207806,12.3757183689945
"Iceland",1985,6881543941.41187,241405,6.282297,22.6521088738044,12.3942312999414,1.83773567793585,1,1.83773567793585,22.6197109852805,12.3863546237972
"Iceland",1986,7313054041.73777,243180,6.282297,22.7129268130257,12.4015571888504,1.83773567793585,1,1.83773567793585,22.6521088738044,12.3942312999414
"Iceland",1987,7938023234.24126,245859,6.282297,22.7949301182671,12.4125134798577,1.83773567793585,1,1.83773567793585,22.7129268130257,12.4015571888504
"Iceland",1988,7930900760.50732,249740,3.186299,22.7940324551093,12.4281756556691,1.15886005516977,1,1.83773567793585,22.7949301182671,12.4125134798577
"Iceland",1989,7951397369.29523,252852,3.186299,22.7966135198896,12.4405596163048,1.15886005516977,1,1.15886005516977,22.7940324551093,12.4281756556691
"Iceland",1990,8044378650.90001,254826,3.186299,22.8082393802129,12.4483362382907,1.15886005516977,1,1.15886005516977,22.7966135198896,12.4405596163048
"Iceland",1991,8026397412.11853,257797,3.186299,22.8060016231544,12.4599277324917,1.15886005516977,1,1.15886005516977,22.8082393802129,12.4483362382907
"Iceland",1992,7755595260.02866,261057,3.186299,22.7716803888534,12.4724940532656,1.15886005516977,1,1.15886005516977,22.8060016231544,12.4599277324917
"Iceland",1993,7857461084.34969,263725,5.203699,22.7847293739479,12.48266217255,1.64936971885447,1,1.15886005516977,22.7716803888534,12.4724940532656
"Iceland",1994,8141025692.71823,266021,5.203699,22.8201820154992,12.4913305320161,1.64936971885447,1,1.64936971885447,22.7847293739479,12.48266217255
"Iceland",1995,8150516801.80015,267468,11.411898,22.8213471734526,12.4967552119942,2.43465649535127,1,1.64936971885447,22.8201820154992,12.4913305320161
"Iceland",1996,8523253282.33878,268916,8.299697,22.8660639455551,12.5021543421603,2.11621900811209,1,2.43465649535127,22.8213471734526,12.4967552119942
"Iceland",1997,9014233172.47321,271128,8.299697,22.9220706286941,12.5103463130749,2.11621900811209,1,2.11621900811209,22.8660639455551,12.5021543421603
"Iceland",1998,9653843544.81439,274047,23.779709,22.9906219677984,12.5210549035068,3.16883265401367,1,2.11621900811209,22.9220706286941,12.5103463130749
"Iceland",1999,10044153274.2372,277381,36.163679,23.0302565384038,12.5331472913664,3.58805527260522,1,3.16883265401367,22.9906219677984,12.5210549035068
"Iceland",2000,10535472404.082,281205,5.753899,23.0780137245909,12.5468392196994,1.7498777119687,1,3.58805527260522,23.0302565384038,12.5331472913664
"Iceland",2001,10946230526.7459,284968,5.753899,23.1162609898105,12.5601321722451,1.7498777119687,1,1.7498777119687,23.0780137245909,12.5468392196994
"Iceland",2002,11020793074.6702,287523,6.395799,23.1230496049302,12.5690581360197,1.85564136858672,1,1.7498777119687,23.1162609898105,12.5601321722451
"Iceland",2003,11270759757.3608,289521,6.395799,23.1454775768661,12.5759831122245,1.85564136858672,1,1.85564136858672,23.1230496049302,12.5690581360197
"Iceland",2004,12177177342.1916,292074,6.395799,23.2228293270666,12.5847624738013,1.85564136858672,1,1.85564136858672,23.1454775768661,12.5759831122245
"Iceland",2005,12947992676.4791,296734,6.395799,23.2842066074,12.6005913935794,1.85564136858672,1,1.85564136858672,23.2228293270666,12.5847624738013
"Iceland",2006,13627609658.386,303782,6.395799,23.3353636937158,12.6240656178822,1.85564136858672,1,1.85564136858672,23.2842066074,12.6005913935794
"Iceland",2007,14903878824.8275,311566,17.836497,23.4248873398334,12.6493664727763,2.88124675136916,1,1.85564136858672,23.3353636937158,12.6240656178822
"Iceland",2008,15200761232.3718,317414,10.247199,23.4446113446217,12.6679621944823,2.32700439994715,1,2.88124675136916,23.4248873398334,12.6493664727763
"Iceland",2009,14170572948.4567,318499,5.020299,23.3744333237382,12.671374614272,1.61348949368289,1,2.32700439994715,23.4446113446217,12.6679621944823
"Iceland",2010,13683689690.2042,318041,4.836899,23.3394704269707,12.6699355842691,1.57627381291166,1,1.61348949368289,23.3744333237382,12.671374614272
"Iceland",2011,13941164776.6653,319014,3.186299,23.3581117952204,12.6729902679513,1.15886005516977,1,1.57627381291166,23.3394704269707,12.6699355842691
"Iceland",2012,14121903280.4591,320716,3.186299,23.3709928531614,12.6783112753005,1.15886005516977,1,1.15886005516977,23.3581117952204,12.6729902679513
"Iceland",2013,14705681738.0562,323764,3.186299,23.4114997688472,12.6877701343042,1.15886005516977,1,1.15886005516977,23.3709928531614,12.6783112753005
"Iceland",2014,15011945671.7101,327386,3.186299,23.4321120992218,12.6988951818564,1.15886005516977,1,1.15886005516977,23.4114997688472,12.6877701343042
"Iceland",2015,15724860718.4616,330815,3.186299,23.4785087821622,12.7093145857227,1.15886005516977,1,1.15886005516977,23.4321120992218,12.6988951818564
"Iceland",2016,16766953000.2045,335439,3.186299,23.5426757027852,12.7231954006811,1.15886005516977,1,1.15886005516977,23.4785087821622,12.7093145857227
"Iceland",2017,17529175815.3862,343400,3.39008819036264,23.5871325191089,12.7466512274455,1.22085593591021,1,1.15886005516977,23.5426757027852,12.7231954006811
"Iceland",2018,18197812725.278,352721,3.42253061564571,23.6245672438772,12.7734326551378,1.23038022354461,1,1.22085593591021,23.5871325191089,12.7466512274455
"Italy",1969,903501336496.564,NA,NA,27.5295434262212,NA,NA,1,NA,NA,NA
"Italy",1970,951104047855.031,NA,51621.186065,27.5808893023978,NA,10.8516874498587,1,NA,27.5295434262212,NA
"Italy",1971,968396146507.168,54073490,57964.553531,27.5989070827657,17.8058546052341,10.9675869566855,1,10.8516874498587,27.5808893023978,NA
"Italy",1972,1004134668260.43,54381345,62480.329123,27.6351472599367,17.8115317302206,11.0426070521533,1,10.9675869566855,27.5989070827657,17.8058546052341
"Italy",1973,1075687921973.1,54751406,71998.398596,27.7039815002588,17.8183136066964,11.1843991560286,1,11.0426070521533,27.6351472599367,17.8115317302206
